Sentence #,Word,POS,Tag
Sentence: 162,Palestinian,JJ,B-gpe
Sentence: 163,The,DT,O
Sentence: 164,More,JJR,O
Sentence: 165,On,IN,O
Sentence: 166,He,PRP,O
Sentence: 167,He,PRP,O
Sentence: 168,U.S.,NNP,B-geo
Sentence: 169,During,IN,O
Sentence: 170,Mr.,NNP,B-per
Sentence: 171,Chrysler,NNP,B-org
Sentence: 172,Mexican,JJ,B-gpe
Sentence: 173,A,DT,O
Sentence: 174,The,DT,O
Sentence: 175,The,DT,O
Sentence: 176,The,DT,O
Sentence: 177,Merck,NNP,B-org
Sentence: 178,Merck,NNP,B-org
Sentence: 179,Thursday,NNP,B-tim
Sentence: 180,In,IN,O
Sentence: 181,Merck,NNP,B-org
Sentence: 182,The,DT,O
Sentence: 183,Speaking,VBG,O
Sentence: 184,She,PRP,O
Sentence: 185,Ritchie,NNP,B-per
Sentence: 186,"""",``,O
Sentence: 187,"""",``,O
Sentence: 188,The,DT,O
Sentence: 189,U.S.,NNP,B-gpe
Sentence: 190,Warner,NNP,B-per
Sentence: 191,The,DT,O
Sentence: 192,He,PRP,O
Sentence: 193,His,PRP$,O
Sentence: 194,Democrats,NNS,O
Sentence: 195,When,WRB,O
Sentence: 196,The,DT,O
Sentence: 197,The,DT,O
Sentence: 198,It,PRP,O
Sentence: 199,The,DT,O
Sentence: 200,The,DT,O
Sentence: 201,Officials,NNS,O
Sentence: 202,The,DT,O
Sentence: 203,Officials,NNS,O
Sentence: 204,Monday,NNP,B-tim
Sentence: 205,A,DT,O
Sentence: 206,Humans,NNS,O
Sentence: 207,Scientists,NNS,O
Sentence: 208,Thailand,NNP,B-gpe
Sentence: 209,Thai,JJ,B-gpe
Sentence: 210,He,PRP,O
Sentence: 211,Thai,JJ,B-gpe
Sentence: 212,Malaysia,NNP,B-gpe
Sentence: 213,More,JJR,O
Sentence: 214,Anti-Japanese,JJ,O
Sentence: 215,Several,JJ,O
Sentence: 216,In,IN,O
Sentence: 217,State,NNP,B-per
Sentence: 218,Japan,NNP,B-geo
Sentence: 219,Organizers,NNS,O
Sentence: 220,With,IN,O
Sentence: 221,The,DT,O
Sentence: 222,Prime,NNP,B-per
Sentence: 223,The,DT,O
Sentence: 224,A,DT,O
Sentence: 225,China,NNP,B-geo
Sentence: 226,There,EX,O
Sentence: 227,One,CD,O
Sentence: 228,Conservationists,NNS,O
Sentence: 229,Sam,NNP,B-per
Sentence: 230,British,JJ,B-gpe
Sentence: 231,A,DT,O
Sentence: 232,Officials,NNS,O
Sentence: 233,The,DT,O
Sentence: 234,Officials,NNS,O
Sentence: 235,Sri,NNP,B-geo
Sentence: 236,Dharmeratnam,NNP,B-per
Sentence: 237,Mr.,NNP,B-per
Sentence: 238,Mr.,NNP,B-per
Sentence: 239,No,DT,O
Sentence: 240,Japan,NNP,B-gpe
Sentence: 241,Japanese,JJ,B-gpe
Sentence: 242,The,DT,O
Sentence: 243,Japan,NNP,B-gpe
Sentence: 244,Tokyo,NNP,B-gpe
Sentence: 245,A,DT,O
Sentence: 246,Human,NNP,B-org
Sentence: 247,The,DT,O
Sentence: 248,The,DT,O
Sentence: 249,Saddam,NNP,B-per
Sentence: 250,He,PRP,O
Sentence: 251,Egypt,NNP,B-gpe
Sentence: 252,The,DT,O
Sentence: 253,WHO,NNP,B-org
Sentence: 254,The,DT,O
Sentence: 255,Thirty,CD,O
Sentence: 256,Thirteen,CD,O
Sentence: 257,Egypt,NNP,B-geo
Sentence: 258,The,DT,O
Sentence: 259,Former,JJ,O
Sentence: 260,In,IN,O
Sentence: 261,He,PRP,O
Sentence: 262,The,DT,O
Sentence: 263,Kyrgyzstan,NNP,B-gpe
Sentence: 264,Interior,NNP,B-per
Sentence: 265,The,DT,O
Sentence: 266,It,PRP,O
Sentence: 267,Mr.,NNP,B-per
Sentence: 268,That,DT,O
Sentence: 269,A,DT,O
Sentence: 270,The,DT,O
Sentence: 271,Officials,NNS,O
Sentence: 272,One,CD,O
Sentence: 273,Regular,JJ,O
Sentence: 274,Aigle,NNP,B-org
Sentence: 275,Etihad,NNP,B-org
Sentence: 276,A,DT,O
Sentence: 277,The,DT,O
Sentence: 278,According,VBG,O
Sentence: 279,Analysts,NNS,O
Sentence: 280,Earlier,RBR,O
Sentence: 281,Venezuelan,JJ,B-gpe
Sentence: 282,Mr.,NNP,B-per
Sentence: 283,The,DT,O
Sentence: 284,After,IN,O
Sentence: 285,During,IN,O
Sentence: 286,Tensions,NNS,O
Sentence: 287,Venezuela,NNP,B-gpe
Sentence: 288,China,NNP,B-gpe
Sentence: 289,In,IN,O
Sentence: 290,In,IN,O
Sentence: 291,He,PRP,O
Sentence: 292,Liu,NNP,B-per
Sentence: 293,China,NNP,B-gpe
Sentence: 294,People,NNS,O
Sentence: 295,President,NNP,B-per
Sentence: 296,The,DT,O
Sentence: 297,They,PRP,O
Sentence: 298,Including,IN,O
Sentence: 299,Pardons,NNS,O
Sentence: 300,White,NNP,B-org
Sentence: 301,Uganda,NNP,B-gpe
Sentence: 302,Officials,NNS,O
Sentence: 303,The,DT,O
Sentence: 304,However,RB,O
Sentence: 305,Kony,NNP,B-per
Sentence: 306,LRA,NNP,B-org
Sentence: 307,World,NN,O
Sentence: 308,But,CC,O
Sentence: 309,The,DT,O
Sentence: 310,Because,IN,O
Sentence: 311,The,DT,O
Sentence: 312,Federer,NNP,B-per
Sentence: 313,The,DT,O
Sentence: 314,Officials,NNS,O
Sentence: 315,They,PRP,O
Sentence: 316,The,DT,O
Sentence: 317,Scientists,NNS,O
Sentence: 318,Ugandan,JJ,B-gpe
Sentence: 319,Police,NNS,O
Sentence: 320,Uganda,NNP,B-gpe
Sentence: 321,A,DT,O
Sentence: 322,But,CC,O
Sentence: 323,Dr.,NNP,B-per
Sentence: 324,He,PRP,O
Sentence: 325,U.S.,NNP,B-gpe
Sentence: 326,Mr.,NNP,B-per
Sentence: 327,The,DT,O
Sentence: 328,He,PRP,O
Sentence: 329,Mr.,NNP,B-per
Sentence: 330,Democrats,NNS,B-org
Sentence: 331,Controversy,NN,O
Sentence: 332,It,PRP,O
Sentence: 333,World,NNP,B-org
Sentence: 334,World,NNP,B-org
Sentence: 335,The,DT,O
Sentence: 336,The,DT,O
Sentence: 337,Iran,NNP,B-gpe
Sentence: 338,Government,NN,O
Sentence: 339,Medical,JJ,O
Sentence: 340,Iran,NNP,B-gpe
Sentence: 341,The,DT,O
Sentence: 342,Sandstorms,NNS,O
Sentence: 343,Shortly,RB,O
Sentence: 344,Israeli,JJ,B-gpe
Sentence: 345,They,PRP,O
Sentence: 346,It,PRP,O
Sentence: 347,A,DT,O
Sentence: 348,The,DT,O
Sentence: 349,Indonesian,JJ,B-gpe
Sentence: 350,An,DT,O
Sentence: 351,They,PRP,O
Sentence: 352,The,DT,O
Sentence: 353,An,DT,O
Sentence: 354,Prosecutors,NNS,O
Sentence: 355,If,IN,O
Sentence: 356,The,DT,O
Sentence: 357,Police,NNS,O
Sentence: 358,He,PRP,O
Sentence: 359,British,JJ,B-gpe
Sentence: 360,He,PRP,O
Sentence: 361,In,IN,O
Sentence: 362,The,DT,O
Sentence: 363,The,DT,O
Sentence: 364,It,PRP,O
Sentence: 365,Five,CD,O
Sentence: 366,The,DT,O
Sentence: 367,The,DT,O
Sentence: 368,The,DT,O
Sentence: 369,Police,NNS,O
Sentence: 370,Yu,NNP,B-per
Sentence: 371,Police,NNS,O
Sentence: 372,The,DT,O
Sentence: 373,The,DT,O
Sentence: 374,Radical,JJ,O
Sentence: 375,In,IN,O
Sentence: 376,The,DT,O
Sentence: 377,Mr.,NNP,B-per
Sentence: 378,In,IN,O
Sentence: 379,Iran,NNP,B-gpe
Sentence: 380,Joint,NNP,B-org
Sentence: 381,But,CC,O
Sentence: 382,Iran,NNP,B-gpe
Sentence: 383,He,PRP,O
Sentence: 384,The,DT,O
Sentence: 385,Admiral,NNP,B-per
Sentence: 386,Georgia,NNP,B-gpe
Sentence: 387,President,NNP,B-per
Sentence: 388,Residents,NNS,O
Sentence: 389,Russian,JJ,B-gpe
Sentence: 390,Repairs,NNS,O
Sentence: 391,Georgia,NNP,B-gpe
Sentence: 392,President,NNP,B-per
Sentence: 393,Millions,NNS,O
Sentence: 394,Peru,NNP,B-gpe
Sentence: 395,In,IN,O
Sentence: 396,The,DT,O
Sentence: 397,The,DT,O
Sentence: 398,The,DT,O
Sentence: 399,Mr.,NNP,B-per
Sentence: 400,Tokyo,NNP,B-gpe
Sentence: 401,The,DT,O
Sentence: 402,The,DT,O
Sentence: 403,The,DT,O
Sentence: 404,Earlier,RBR,O
Sentence: 405,The,DT,O
Sentence: 406,The,DT,O
Sentence: 407,Kenyan,JJ,B-gpe
Sentence: 408,At,IN,O
Sentence: 409,Muslims,NNS,O
Sentence: 410,In,IN,O
Sentence: 411,Malaysian,JJ,B-gpe
Sentence: 412,The,DT,O
Sentence: 413,China,NNP,B-geo
Sentence: 414,Seven,CD,O
Sentence: 415,The,DT,O
Sentence: 416,Chinese,JJ,B-gpe
Sentence: 417,Thousands,NNS,O
Sentence: 418,India,NNP,B-org
Sentence: 419,The,DT,O
Sentence: 420,They,PRP,O
Sentence: 421,The,DT,O
Sentence: 422,A,DT,O
Sentence: 423,She,PRP,O
Sentence: 424,India,NNP,B-org
Sentence: 425,Iraqi,JJ,B-gpe
Sentence: 426,Earlier,RBR,O
Sentence: 427,It,PRP,O
Sentence: 428,On,IN,O
Sentence: 429,Also,RB,O
Sentence: 430,Iran,NNP,B-geo
Sentence: 431,State,NN,O
Sentence: 432,The,DT,O
Sentence: 433,The,DT,O
Sentence: 434,The,DT,O
Sentence: 435,Those,DT,O
Sentence: 436,Last,JJ,O
Sentence: 437,Zambian,JJ,B-gpe
Sentence: 438,Information,NNP,B-per
Sentence: 439,He,PRP,O
Sentence: 440,Mr.,NNP,B-per
Sentence: 441,The,DT,O
Sentence: 442,Mr.,NNP,B-per
Sentence: 443,He,PRP,O
Sentence: 444,He,PRP,O
Sentence: 445,U.S.,NNP,B-gpe
Sentence: 446,Sperling,NNP,B-per
Sentence: 447,He,PRP,O
Sentence: 448,Sperling,NNP,B-per
Sentence: 449,Mr.,NNP,B-per
Sentence: 450,Sperling,NNP,B-per
Sentence: 451,On,IN,O
Sentence: 452,Authorities,NNS,O
Sentence: 453,The,DT,O
Sentence: 454,No,DT,O
Sentence: 455,More,JJR,O
Sentence: 456,The,DT,O
Sentence: 457,The,DT,O
Sentence: 458,Former,JJ,O
Sentence: 459,The,DT,O
Sentence: 460,China,NNP,B-geo
Sentence: 461,The,DT,O
Sentence: 462,Xinhua,NNP,B-org
Sentence: 463,It,PRP,O
Sentence: 464,The,DT,O
Sentence: 465,A,DT,O
Sentence: 466,Philip,NNP,B-per
Sentence: 467,He,PRP,O
Sentence: 468,Thailand,NNP,B-gpe
Sentence: 469,Meanwhile,RB,O
Sentence: 470,He,PRP,O
Sentence: 471,Hundreds,NNS,O
Sentence: 472,Israeli,JJ,B-gpe
Sentence: 473,Witnesses,NNS,O
Sentence: 474,Israeli,JJ,B-gpe
Sentence: 475,The,DT,O
Sentence: 476,Israeli,JJ,B-gpe
Sentence: 477,Officials,NNS,O
Sentence: 478,Palestinian,JJ,B-gpe
Sentence: 479,The,DT,O
Sentence: 480,Major,NNP,B-per
Sentence: 481,General,NNP,B-per
Sentence: 482,However,RB,O
Sentence: 483,Earlier,RBR,O
Sentence: 484,Ugandan,JJ,B-gpe
Sentence: 485,James,NNP,B-per
Sentence: 486,He,PRP,O
Sentence: 487,LRA,NNP,B-org
Sentence: 488,The,DT,O
Sentence: 489,The,DT,O
Sentence: 490,The,DT,O
Sentence: 491,A,DT,O
Sentence: 492,The,DT,O
Sentence: 493,The,DT,O
Sentence: 494,The,DT,O
Sentence: 495,The,DT,O
Sentence: 496,Iraqi,JJ,B-gpe
Sentence: 497,In,IN,O
Sentence: 498,U.S.,NNP,B-gpe
Sentence: 499,Air,NNP,B-org
Sentence: 500,He,PRP,O
Sentence: 501,Some,DT,O
Sentence: 502,U.S.,NNP,B-gpe
Sentence: 503,Meantime,RB,O
Sentence: 504,A,DT,O
Sentence: 505,The,DT,O
Sentence: 506,An,DT,O
Sentence: 507,U.S.-led,JJ,O
Sentence: 508,Four,CD,O
Sentence: 509,In,IN,O
Sentence: 510,The,DT,O
Sentence: 511,In,IN,O
Sentence: 512,There,EX,O
Sentence: 513,A,DT,O
Sentence: 514,Coalition,NN,O
Sentence: 515,U.S.,NNP,B-geo
Sentence: 516,The,DT,O
Sentence: 517,Officials,NNS,O
Sentence: 518,On,IN,O
Sentence: 519,The,DT,O
Sentence: 520,In,IN,O
Sentence: 521,The,DT,O
Sentence: 522,Statements,NNS,O
Sentence: 523,The,DT,O
Sentence: 524,The,DT,O
Sentence: 525,U.S.,NNP,B-gpe
Sentence: 526,The,DT,O
Sentence: 527,The,DT,O
Sentence: 528,It,PRP,O
Sentence: 529,Friday,NNP,B-tim
Sentence: 530,Redmond,NNP,B-per
Sentence: 531,World,NN,O
Sentence: 532,The,DT,O
Sentence: 533,Iraq,NNP,B-gpe
Sentence: 534,However,RB,O
Sentence: 535,He,PRP,O
Sentence: 536,A,DT,O
Sentence: 537,Top,JJ,O
Sentence: 538,Meanwhile,RB,O
Sentence: 539,Separately,RB,O
Sentence: 540,The,DT,O
Sentence: 541,The,DT,O
Sentence: 542,Officials,NNS,O
Sentence: 543,A,DT,O
Sentence: 544,Economists,NNS,O
Sentence: 545,Despite,IN,O
Sentence: 546,A,DT,O
Sentence: 547,At,IN,O
Sentence: 548,Officials,NNS,O
Sentence: 549,They,PRP,O
Sentence: 550,The,DT,O
Sentence: 551,It,PRP,O
Sentence: 552,Pakistani,JJ,B-gpe
Sentence: 553,A,DT,O
Sentence: 554,U.S.,NNP,B-gpe
Sentence: 555,Posada,NNP,B-per
Sentence: 556,Some,DT,O
Sentence: 557,He,PRP,O
Sentence: 558,In,IN,O
Sentence: 559,Pakistani,JJ,B-gpe
Sentence: 560,He,PRP,O
Sentence: 561,In,IN,O
Sentence: 562,He,PRP,O
Sentence: 563,Some,DT,O
Sentence: 564,General,NNP,B-per
Sentence: 565,U.S.,NNP,B-gpe
Sentence: 566,The,DT,O
Sentence: 567,The,DT,O
Sentence: 568,Health,NN,O
Sentence: 569,The,DT,O
Sentence: 570,Pakistani,JJ,B-gpe
Sentence: 571,A,DT,O
Sentence: 572,The,DT,O
Sentence: 573,The,DT,O
Sentence: 574,The,DT,O
Sentence: 575,The,DT,O
Sentence: 576,The,DT,O
Sentence: 577,A,DT,O
Sentence: 578,Latvia,NNP,B-gpe
Sentence: 579,Although,IN,O
Sentence: 580,Latvia,NNP,B-gpe
Sentence: 581,Bolivia,NNP,B-gpe
Sentence: 582,Following,VBG,O
Sentence: 583,The,DT,O
Sentence: 584,In,IN,O
Sentence: 585,After,IN,O
Sentence: 586,Nevertheless,RB,O
Sentence: 587,During,IN,O
Sentence: 588,However,RB,O
Sentence: 589,Autonomy,NN,O
Sentence: 590,Student,NN,O
Sentence: 591,A,DT,O
Sentence: 592,The,DT,O
Sentence: 593,Talks,NNS,O
Sentence: 594,Swaziland,NNP,B-gpe
Sentence: 595,First,RB,O
Sentence: 596,The,DT,O
Sentence: 597,Manpower,NN,O
Sentence: 598,The,DT,O
Sentence: 599,Independence,NN,O
Sentence: 600,The,DT,O
Sentence: 601,Tourism,NN,O
Sentence: 602,The,DT,O
Sentence: 603,A,DT,O
Sentence: 604,The,DT,O
Sentence: 605,He,PRP,O
Sentence: 606,When,WRB,O
Sentence: 607,The,DT,O
Sentence: 608,One,CD,O
Sentence: 609,Old,JJ,O
Sentence: 610,A,DT,O
Sentence: 611,"""",``,O
Sentence: 612,"""",``,O
Sentence: 613,Rising,VBG,O
Sentence: 614,Recalled,VBN,O
Sentence: 615,Kids,NNS,O
Sentence: 616,I,PRP,O
Sentence: 617,All,DT,O
Sentence: 618,The,DT,O
Sentence: 619,A,DT,O
Sentence: 620,However,RB,O
Sentence: 621,A,DT,O
Sentence: 622,France,NNP,B-geo
Sentence: 623,China,NNP,B-org
Sentence: 624,The,DT,O
Sentence: 625,The,DT,O
Sentence: 626,Authorities,NNS,O
Sentence: 627,More,JJR,O
Sentence: 628,China,NNP,B-org
Sentence: 629,But,CC,O
Sentence: 630,A,DT,O
Sentence: 631,Norway,NNP,B-gpe
Sentence: 632,The,DT,O
Sentence: 633,The,DT,O
Sentence: 634,The,DT,O
Sentence: 635,Other,JJ,O
Sentence: 636,More,JJR,O
Sentence: 637,Five,CD,O
Sentence: 638,Wanted,VBN,O
Sentence: 639,The,DT,O
Sentence: 640,North,NNP,B-geo
Sentence: 641,And,CC,O
Sentence: 642,A,DT,O
Sentence: 643,An,DT,O
Sentence: 644,The,DT,O
Sentence: 645,Palestinians,NNS,B-gpe
Sentence: 646,They,PRP,O
Sentence: 647,Earlier,RBR,O
Sentence: 648,He,PRP,O
Sentence: 649,A,DT,O
Sentence: 650,The,DT,O
Sentence: 651,The,DT,O
Sentence: 652,Possible,JJ,O
Sentence: 653,Russia,NNP,B-geo
Sentence: 654,Air,NNP,B-org
Sentence: 655,They,PRP,O
Sentence: 656,Russian,JJ,B-gpe
Sentence: 657,The,DT,O
Sentence: 658,Reports,NNS,O
Sentence: 659,The,DT,O
Sentence: 660,Pro-Russian,JJ,O
Sentence: 661,News-agency,NN,O
Sentence: 662,Ukraine,NNP,B-geo
Sentence: 663,Sevastopol,NNP,B-geo
Sentence: 664,Through,IN,O
Sentence: 665,Ukraine,NNP,B-geo
Sentence: 666,Egypt,NNP,B-gpe
Sentence: 667,Several,JJ,O
Sentence: 668,Instead,RB,O
Sentence: 669,Authorities,NNS,O
Sentence: 670,Estimates,NNS,O
Sentence: 671,Smaller,JJR,O
Sentence: 672,Egyptian,JJ,B-gpe
Sentence: 673,The,DT,O
Sentence: 674,The,DT,O
Sentence: 675,Russia,NNP,B-geo
Sentence: 676,Monday,NNP,B-tim
Sentence: 677,Ivanov,NNP,B-per
Sentence: 678,He,PRP,O
Sentence: 679,Western,JJ,O
Sentence: 680,The,DT,O
Sentence: 681,They,PRP,O
Sentence: 682,A,DT,O
Sentence: 683,Bystanders,NNS,O
Sentence: 684,Descriptions,NNS,O
Sentence: 685,Police,NNS,O
Sentence: 686,Also,RB,O
Sentence: 687,Police,NNS,O
Sentence: 688,Members,NNS,O
Sentence: 689,James,NNP,B-per
Sentence: 690,More,JJR,O
Sentence: 691,Likewise,RB,O
Sentence: 692,Last,JJ,O
Sentence: 693,MS-13,NNP,B-geo
Sentence: 694,The,DT,O
Sentence: 695,In,IN,O
Sentence: 696,The,DT,O
Sentence: 697,The,DT,O
Sentence: 698,Italian,JJ,B-gpe
Sentence: 699,During,IN,O
Sentence: 700,He,PRP,O
Sentence: 701,The,DT,O
Sentence: 702,Both,DT,O
Sentence: 703,Voters,NNS,O
Sentence: 704,Polls,NNS,O
Sentence: 705,Iraqi,JJ,B-gpe
Sentence: 706,The,DT,O
Sentence: 707,Iraqi,JJ,B-gpe
Sentence: 708,Worshipers,NNS,O
Sentence: 709,Several,JJ,O
Sentence: 710,On,IN,O
Sentence: 711,Other,JJ,O
Sentence: 712,Are,VBP,O
Sentence: 713,Moses,NNPS,B-per
Sentence: 714,Mr.,NNP,B-per
Sentence: 715,And,CC,O
Sentence: 716,As,IN,O
Sentence: 717,He,PRP,O
Sentence: 718,A,DT,O
Sentence: 719,Shinzo,NNP,B-per
Sentence: 720,U.S.,NNP,B-gpe
Sentence: 721,Interviewed,VBN,O
Sentence: 722,U.S.,NNP,B-gpe
Sentence: 723,North,NNP,B-geo
Sentence: 724,Authorities,NNS,O
Sentence: 725,The,DT,O
Sentence: 726,Separately,RB,O
Sentence: 727,Officials,NNS,O
Sentence: 728,U.S.,NNP,B-geo
Sentence: 729,On,IN,O
Sentence: 730,European,NNP,B-org
Sentence: 731,The,DT,O
Sentence: 732,The,DT,O
Sentence: 733,The,DT,O
Sentence: 734,Swiss,JJ,B-gpe
Sentence: 735,A,DT,O
Sentence: 736,The,DT,O
Sentence: 737,The,DT,O
Sentence: 738,More,JJR,O
Sentence: 739,Other,JJ,O
Sentence: 740,The,DT,O
Sentence: 741,They,PRP,O
Sentence: 742,Ukraine,NNP,B-geo
Sentence: 743,The,DT,O
Sentence: 744,But,CC,O
Sentence: 745,The,DT,O
Sentence: 746,The,DT,O
Sentence: 747,The,DT,O
Sentence: 748,The,DT,O
Sentence: 749,The,DT,O
Sentence: 750,The,DT,O
Sentence: 751,China,NNP,B-geo
Sentence: 752,The,DT,O
Sentence: 753,Leaders,NNS,O
Sentence: 754,The,DT,O
Sentence: 755,A,DT,O
Sentence: 756,Reporters,NNS,O
Sentence: 757,They,PRP,O
Sentence: 758,The,DT,O
Sentence: 759,The,DT,O
Sentence: 760,Images,NNS,O
Sentence: 761,The,DT,O
Sentence: 762,The,DT,O
Sentence: 763,Scientists,NNS,O
Sentence: 764,A,DT,O
Sentence: 765,Ohio,NNP,B-gpe
Sentence: 766,He,PRP,O
Sentence: 767,Ney,NNP,B-per
Sentence: 768,Abramoff,NNP,B-per
Sentence: 769,Ney,NNP,B-per
Sentence: 770,Texas,NNP,B-gpe
Sentence: 771,DeLay,NNP,B-per
Sentence: 772,One,CD,O
Sentence: 773,A,DT,O
Sentence: 774,Italian,JJ,B-gpe
Sentence: 775,Hamdi,NNP,B-per
Sentence: 776,Italy,NNP,B-geo
Sentence: 777,The,DT,O
Sentence: 778,The,DT,O
Sentence: 779,Central,NNP,B-geo
Sentence: 780,Residents,NNS,O
Sentence: 781,Meanwhile,RB,O
Sentence: 782,At,IN,O
Sentence: 783,He,PRP,O
Sentence: 784,A,DT,O
Sentence: 785,The,DT,O
Sentence: 786,In,IN,O
Sentence: 787,The,DT,O
Sentence: 788,The,DT,O
Sentence: 789,Former,JJ,O
Sentence: 790,Judge,NNP,O
Sentence: 791,The,DT,O
Sentence: 792,Mr.,NNP,B-per
Sentence: 793,This,DT,O
Sentence: 794,General,NNP,B-org
Sentence: 795,Leaders,NNS,O
